 Temperature   Velocity   Angle  Erosion_Yield_fit   Reacted_Fraction_fit   Energy_Accommodation
         195      0.030       0           7.89e-25               0.022081               0.667888
         195      0.030      15        8.83906e-25               0.020692               0.689330
         195      0.030      30        7.39945e-25               0.017843               0.736635
         195      0.030      45        6.55705e-25               0.014044               0.786053
         195      0.030      60        8.71335e-25               0.010007               0.817137
         195      0.030      75        2.45969e-24               0.006402               0.873917
         195      0.060       0        9.84275e-25               0.102335               0.709095
         195      0.060      15        1.10267e-24               0.096395               0.706756
         195      0.060      30        9.23079e-25               0.084015               0.761271
         195      0.060      45         8.1799e-25               0.067090               0.784293
         195      0.060      60        1.08699e-24               0.048555               0.857858
         195      0.060      75        3.06845e-24               0.031504               0.889519
         195      0.070       0        1.11229e-24               0.140090               0.762848
         195      0.070      15        1.24608e-24               0.132282               0.748208
         195      0.070      30        1.04313e-24               0.115885               0.788923
         195      0.070      45        9.24378e-25               0.093193               0.803508
         195      0.070      60        1.22836e-24               0.067971               0.856934
         195      0.070      75        3.46754e-24               0.044421               0.887850
         195      0.075       0        1.19323e-24               0.158385               0.767368
         195      0.075      15        1.33676e-24               0.149734               0.778363
         195      0.075      30        1.11904e-24               0.131502               0.787470
         195      0.075      45        9.91641e-25               0.106119               0.804098
         195      0.075      60        1.31774e-24               0.077699               0.862620
         195      0.075      75        3.71986e-24               0.050962               0.893217
         195      0.080       0        1.28784e-24               0.175247               0.799665
         195      0.080      15        1.44276e-24               0.165857               0.780911
         195      0.080      30        1.20778e-24               0.145999               0.794236
         195      0.080      45        1.07027e-24               0.118198               0.818870
         195      0.080      60        1.42224e-24               0.086857               0.866920
         195      0.080      75        4.01483e-24               0.057165               0.898683
         195      0.100       0         1.8569e-24               0.215576               0.867754
         195      0.100      15        2.08026e-24               0.204561               0.865175
         195      0.100      30        1.74145e-24               0.181074               0.850950
         195      0.100      45        1.54319e-24               0.147750               0.847353
         195      0.100      60        2.05067e-24               0.109547               0.871028
         195      0.100      75        5.78884e-24               0.072716               0.921223
         290      0.030       0         1.2211e-24               0.044441               0.607300
         290      0.030      15        1.36798e-24               0.041705               0.635929
         290      0.030      30        1.14518e-24               0.036069               0.626765
         290      0.030      45        1.01481e-24               0.028502               0.592188
         290      0.030      60        1.34853e-24               0.020395               0.488788
         290      0.030      75        3.80676e-24               0.013097               0.487538
         290      0.060       0        1.52332e-24               0.190156               0.707347
         290      0.060      15        1.70656e-24               0.180141               0.717972
         290      0.060      30        1.42861e-24               0.158899               0.700624
         290      0.060      45        1.26597e-24               0.129013               0.637980
         290      0.060      60        1.68228e-24               0.095114               0.533761
         290      0.060      75        4.74892e-24               0.062793               0.492124
         290      0.070       0        1.72144e-24               0.251244               0.758610
         290      0.070      15        1.92851e-24               0.238962               0.763882
         290      0.070      30        1.61441e-24               0.212581               0.725722
         290      0.070      45        1.43062e-24               0.174696               0.663640
         290      0.070      60        1.90108e-24               0.130593               0.627586
         290      0.070      75        5.36656e-24               0.087380               0.456605
         290      0.075       0         1.8467e-24               0.279339               0.794543
         290      0.075      15        2.06884e-24               0.266172               0.781581
         290      0.075      30        1.73189e-24               0.237725               0.722935
         290      0.075      45        1.53472e-24               0.196477               0.729801
         290      0.075      60        2.03941e-24               0.147860               0.633418
         290      0.075      75        5.75706e-24               0.099588               0.418192
         290      0.080       0        1.99314e-24               0.304421               0.775013
         290      0.080      15        2.23289e-24               0.290548               0.800727
         290      0.080      30        1.86922e-24               0.260421               0.773144
         290      0.080      45        1.65642e-24               0.216352               0.702238
         290      0.080      60        2.20113e-24               0.163820               0.656252
         290      0.080      75        6.21358e-24               0.111017               0.435557
         290      0.100       0        2.87384e-24               0.361448               0.866605
         290      0.100      15        3.21952e-24               0.346269               0.849709
         290      0.100      30        2.69516e-24               0.312913               0.810801
         290      0.100      45        2.38833e-24               0.263122               0.796265
         290      0.100      60        3.17373e-24               0.202164               0.714463
         290      0.100      75        8.95913e-24               0.139056               0.533606
         385      0.030       0        2.71391e-24               0.048176               0.645800
         385      0.030      15        3.04036e-24               0.045221               0.652899
         385      0.030      30        2.54518e-24               0.039129               0.669640
         385      0.030      45        2.25542e-24               0.030941               0.698133
         385      0.030      60        2.99712e-24               0.022156               0.735967
         385      0.030      75        8.46057e-24               0.014237               0.714596
         385      0.060       0         3.3856e-24               0.203530               0.746345
         385      0.060      15        3.79284e-24               0.192979               0.756340
