 Temperature   Velocity   Angle  Erosion_Yield_fit   Reacted_Fraction_fit   Energy_Accommodation
         200      0.030       0        2.60655e-25               0.124551               0.609046
         200      0.030      15        2.38282e-25               0.128704               0.604479
         200      0.030      30        2.14834e-25               0.117695               0.632721
         200      0.030      45        1.91029e-25               0.094838               0.643850
         200      0.030      60        1.67525e-25               0.066796               0.629007
         200      0.030      75        1.44892e-25               0.040795               0.554507
         200      0.060       0        3.82317e-25               0.190416               0.716075
         200      0.060      15        3.49502e-25               0.196273               0.702560
         200      0.060      30        3.15109e-25               0.180683               0.714658
         200      0.060      45        2.80193e-25               0.147641               0.685314
         200      0.060      60        2.45718e-25               0.105811               0.648950
         200      0.060      75        2.12521e-25               0.065692               0.531531
         200      0.070       0        5.26696e-25               0.217997               0.761203
         200      0.070      15        4.81489e-25               0.224467               0.742122
         200      0.070      30        4.34108e-25               0.207215               0.730293
         200      0.070      45        3.86006e-25               0.170329               0.712721
         200      0.070      60        3.38512e-25               0.122999               0.695499
         200      0.070      75        2.92778e-25               0.076924               0.595774
         200      0.075       0        6.40942e-25               0.232907               0.783205
         200      0.075      15         5.8593e-25               0.239684               0.763499
         200      0.075      30        5.28271e-25               0.221597               0.763480
         200      0.075      45        4.69735e-25               0.182741               0.731264
         200      0.075      60        4.11939e-25               0.132513               0.692833
         200      0.075      75        3.56285e-25               0.083212               0.526446
         200      0.080       0        7.98985e-25               0.248567               0.794835
         200      0.080      15        7.30407e-25               0.255648               0.782461
         200      0.080      30        6.58531e-25               0.236731               0.773788
         200      0.080      45        5.85561e-25               0.195890               0.758165
         200      0.080      60        5.13514e-25               0.142679               0.678985
         200      0.080      75        4.44137e-25               0.089988               0.551821
         200      0.100       0        2.45483e-24               0.318536               0.857137
         200      0.100      15        2.24413e-24               0.326743               0.853491
         200      0.100      30         2.0233e-24               0.304719               0.842985
         200      0.100      45         1.7991e-24               0.256083               0.821362
         200      0.100      60        1.57774e-24               0.190393               0.764615
         200      0.100      75        1.36458e-24               0.122602               0.661438
         300      0.030       0        1.23262e-24               0.190860               0.622742
         300      0.030      15        1.12682e-24               0.196727               0.621792
