 Temperature   Velocity   Angle  Erosion_Yield_fit   Reacted_Fraction_fit   Energy_Accommodation
         200      0.030       0        2.16856e-25               0.002582               0.407273
         200      0.030      15        1.27686e-25               0.001758               0.398730
         200      0.030      30         6.7987e-26               0.001693               0.382377
         200      0.030      45        3.27357e-26               0.002309               0.374461
         200      0.030      60        1.42537e-26               0.004454               0.368567
         200      0.030      75              1e-26               0.012097               0.306016
         200      0.060       0        9.09092e-25               0.009491               0.563314
         200      0.060      15        5.35278e-25               0.006476               0.569003
         200      0.060      30        2.85011e-25               0.006240               0.536582
         200      0.060      45        1.37233e-25               0.008496               0.457487
         200      0.060      60        5.97537e-26               0.016291               0.366760
         200      0.060      75        2.35279e-26               0.043365               0.283720
         200      0.070       0         1.6318e-24               0.012331               0.628354
         200      0.070      15        9.60811e-25               0.008421               0.627776
         200      0.070      30        5.11589e-25               0.008116               0.590232
         200      0.070      45        2.46329e-25               0.011042               0.584758
         200      0.070      60        1.07256e-25               0.021123               0.390600
         200      0.070      75        4.22321e-26               0.055772               0.380653
         200      0.075       0        2.23064e-24               0.013613               0.663486
         200      0.075      15        1.31341e-24               0.009300               0.638781
         200      0.075      30        6.99333e-25               0.008963               0.630662
         200      0.075      45        3.36728e-25               0.012191               0.582763
         200      0.075      60        1.46618e-25               0.023296               0.389365
         200      0.075      75        5.77305e-26               0.061287               0.268009
         200      0.080       0         3.0904e-24               0.014711               0.702656
         200      0.080      15        1.81965e-24               0.010054               0.679473
         200      0.080      30         9.6888e-25               0.009690               0.625460
         200      0.080      45        4.66514e-25               0.013176               0.574504
         200      0.080      60        2.03129e-25               0.025156               0.426809
         200      0.080      75        7.99818e-26               0.065975               0.315398
         200      0.100       0        1.30192e-23               0.016238               0.782706
         200      0.100      15        7.66575e-24               0.011103               0.783984
         200      0.100      30        4.08167e-24               0.010702               0.758661
         200      0.100      45        1.96532e-24               0.014546               0.671953
         200      0.100      60        8.55736e-25               0.027736               0.681652
         200      0.100      75        3.36945e-25               0.072432               0.426068
         300      0.030       0        3.22144e-25               0.002801               0.397508
         300      0.030      15         1.8968e-25               0.001907               0.425304
         300      0.030      30        1.00996e-25               0.001838               0.491996
         300      0.030      45        4.86296e-26               0.002506               0.573118
         300      0.030      60        2.11742e-26               0.004832               0.637760
         300      0.030      75              1e-26               0.013115               0.715192
         300      0.060       0        1.35048e-24               0.010292               0.577075
         300      0.060      15        7.95167e-25               0.007024               0.578206
         300      0.060      30        4.23391e-25               0.006769               0.612084
         300      0.060      45        2.03862e-25               0.009214               0.669173
         300      0.060      60        8.87654e-26               0.017656               0.636740
         300      0.060      75        3.49513e-26               0.046891               0.717891
         300      0.070       0        2.42407e-24               0.013369               0.634103
         300      0.070      15        1.42731e-24               0.009133               0.634766
         300      0.070      30        7.59977e-25               0.008802               0.638822
         300      0.070      45        3.65928e-25               0.011972               0.668174
         300      0.070      60        1.59332e-25               0.022883               0.670230
         300      0.070      75        6.27367e-26               0.060243               0.606088
         300      0.075       0        3.31367e-24               0.014757               0.666067
         300      0.075      15         1.9511e-24               0.010085               0.673997
         300      0.075      30        1.03888e-24               0.009720               0.654434
         300      0.075      45        5.00217e-25               0.013217               0.695327
         300      0.075      60        2.17804e-25               0.025233               0.689256
         300      0.075      75          8.576e-26               0.066169               0.725826
         300      0.080       0        4.59087e-24               0.015946               0.684151
         300      0.080      15        2.70312e-24               0.010902               0.711446
         300      0.080      30        1.43929e-24               0.010508               0.667603
         300      0.080      45        6.93018e-25               0.014284               0.704507
         300      0.080      60        3.01753e-25               0.027243               0.667786
         300      0.080      75        1.18815e-25               0.071202               0.626228
         300      0.100       0        1.93403e-23               0.017599               0.786228
         300      0.100      15        1.13876e-23               0.012039               0.788140
         300      0.100      30        6.06341e-24               0.011604               0.798344
         300      0.100      45        2.91952e-24               0.015767               0.781977
         300      0.100      60        1.27122e-24               0.030031               0.769945
         300      0.100      75        5.00539e-25               0.078128               0.785895
         400      0.030       0        7.96153e-25               0.003239               0.413428
         400      0.030      15        4.68779e-25               0.002205               0.440665
         400      0.030      30        2.49604e-25               0.002125               0.498379
         400      0.030      45        1.20184e-25               0.002897               0.605380
         400      0.030      60        5.23303e-26               0.005584               0.703291
         400      0.030      75         2.0605e-26               0.015140               0.813422
         400      0.060       0        3.33759e-24               0.011886               0.584648
         400      0.060      15        1.96519e-24               0.008116               0.592063
         400      0.060      30        1.04638e-24               0.007821               0.000000
         400      0.060      45        5.03828e-25               0.010642               0.688100
         400      0.060      60        2.19376e-25               0.020366               0.726965
         400      0.060      75        8.63791e-26               0.053843               0.870406
         400      0.070       0        5.99089e-24               0.015432               0.652592
         400      0.070      15        3.52747e-24               0.010549               0.665324
         400      0.070      30        1.87822e-24               0.010167               0.677083
         400      0.070      45         9.0436e-25               0.013822               0.734469
         400      0.070      60        3.93775e-25               0.026374               0.794258
         400      0.070      75        1.55049e-25               0.069031               0.820768
         400      0.075       0        8.18945e-24               0.017030               0.681654
         400      0.075      15        4.82199e-24               0.011647               0.673100
         400      0.075      30        2.56749e-24               0.011226               0.700169
         400      0.075      45        1.23625e-24               0.015256               0.737090
         400      0.075      60        5.38284e-25               0.029072               0.794093
         400      0.075      75        2.11949e-25               0.075752               0.795960
         400      0.080       0        1.13459e-23               0.018398               0.732720
         400      0.080      15        6.68054e-24               0.012589               0.716655
         400      0.080      30        3.55709e-24               0.012134               0.732674
         400      0.080      45        1.71274e-24               0.016485               0.763005
         400      0.080      60        7.45757e-25               0.031378               0.770284
         400      0.080      75        2.93641e-25               0.081450               0.811981
         400      0.100       0        4.77978e-23               0.020300               0.769426
         400      0.100      15        2.81436e-23               0.013899               0.790669
         400      0.100      30        1.49852e-23               0.013398               0.796872
         400      0.100      45        7.21536e-24               0.018193               0.804909
         400      0.100      60         3.1417e-24               0.034574               0.782360
         400      0.100      75        1.23704e-24               0.089277               0.689870
