 Temperature   Velocity   Angle  Erosion_Yield_fit   Reacted_Fraction_fit   Energy_Accommodation
         200      0.030       0        1.79249e-25               0.002582               0.407273
         200      0.030      15        9.15199e-26               0.001758               0.398730
         200      0.030      30        4.30499e-26               0.001693               0.382377
         200      0.030      45        1.86564e-26               0.002309               0.374461
         200      0.030      60              1e-26               0.004454               0.368567
         200      0.030      75              1e-26               0.012097               0.306016
         200      0.060       0        9.16767e-25               0.009491               0.563314
         200      0.060      15        4.68077e-25               0.006476               0.569003
         200      0.060      30        2.20178e-25               0.006240               0.536582
         200      0.060      45        9.54179e-26               0.008496               0.457487
         200      0.060      60        3.80963e-26               0.016291               0.366760
         200      0.060      75        1.40131e-26               0.043365               0.283720
         200      0.070       0        1.74852e-24               0.012331               0.628354
         200      0.070      15        8.92749e-25               0.008421               0.627776
         200      0.070      30        4.19939e-25               0.008116               0.590232
         200      0.070      45        1.81988e-25               0.011042               0.584758
         200      0.070      60          7.266e-26               0.021123               0.390600
         200      0.070      75        2.67268e-26               0.055772               0.380653
         200      0.075       0        2.46124e-24               0.013613               0.663486
         200      0.075      15        1.25665e-24               0.009300               0.638781
         200      0.075      30        5.91112e-25               0.008963               0.630662
         200      0.075      45        2.56168e-25               0.012191               0.582763
         200      0.075      60        1.02277e-25               0.023296               0.389365
         200      0.075      75         3.7621e-26               0.061287               0.268009
         200      0.080       0        3.50878e-24               0.014711               0.702656
         200      0.080      15        1.79149e-24               0.010054               0.679473
         200      0.080      30        8.42696e-25               0.009690               0.625460
         200      0.080      45        3.65196e-25               0.013176               0.574504
         200      0.080      60        1.45808e-25               0.025156               0.426809
         200      0.080      75         5.3633e-26               0.065975               0.315398
         200      0.100       0        1.64567e-23               0.016238               0.782706
         200      0.100      15        8.40235e-24               0.011103               0.783984
         200      0.100      30        3.95237e-24               0.010702               0.758661
         200      0.100      45        1.71282e-24               0.014546               0.671953
         200      0.100      60        6.83859e-25               0.027736               0.681652
         200      0.100      75        2.51547e-25               0.072432               0.426068
         300      0.030       0        2.71916e-25               0.002801               0.397508
         300      0.030      15        1.38833e-25               0.001907               0.425304
         300      0.030      30        6.53056e-26               0.001838               0.491996
         300      0.030      45        2.83013e-26               0.002506               0.573118
         300      0.030      60        1.12995e-26               0.004832               0.637760
         300      0.030      75              1e-26               0.013115               0.715192
         300      0.060       0        1.39071e-24               0.010292               0.577075
         300      0.060      15         7.1006e-25               0.007024               0.578206
         300      0.060      30        3.34004e-25               0.006769               0.612084
         300      0.060      45        1.44746e-25               0.009214               0.669173
         300      0.060      60        5.77911e-26               0.017656               0.636740
         300      0.060      75        2.12576e-26               0.046891               0.717891
         300      0.070       0        2.65246e-24               0.013369               0.634103
         300      0.070      15        1.35428e-24               0.009133               0.634766
         300      0.070      30        6.37036e-25               0.008802               0.638822
         300      0.070      45         2.7607e-25               0.011972               0.668174
         300      0.070      60        1.10223e-25               0.022883               0.670230
         300      0.070      75        4.05439e-26               0.060243               0.606088
         300      0.075       0        3.73364e-24               0.014757               0.666067
         300      0.075      15         1.9063e-24               0.010085               0.673997
         300      0.075      30        8.96701e-25               0.009720               0.654434
         300      0.075      45          3.886e-25               0.013217               0.695327
         300      0.075      60        1.55152e-25               0.025233               0.689256
         300      0.075      75        5.70701e-26               0.066169               0.725826
         300      0.080       0        5.32272e-24               0.015946               0.684151
         300      0.080      15        2.71764e-24               0.010902               0.711446
         300      0.080      30        1.27835e-24               0.010508               0.667603
         300      0.080      45        5.53993e-25               0.014284               0.704507
         300      0.080      60        2.21186e-25               0.027243               0.667786
         300      0.080      75        8.13598e-26               0.071202               0.626228
         300      0.100       0        2.49643e-23               0.017599               0.786228
         300      0.100      15        1.27461e-23               0.012039               0.788140
         300      0.100      30        5.99564e-24               0.011604               0.798344
         300      0.100      45        2.59831e-24               0.015767               0.781977
         300      0.100      60         1.0374e-24               0.030031               0.769945
         300      0.100      75         3.8159e-25               0.078128               0.785895
         400      0.030       0        6.73903e-25               0.003239               0.413428
         400      0.030      15        3.44077e-25               0.002205               0.440665
         400      0.030      30         1.6185e-25               0.002125               0.498379
         400      0.030      45        7.01404e-26               0.002897               0.605380
         400      0.030      60        2.80041e-26               0.005584               0.703291
         400      0.030      75        1.03009e-26               0.015140               0.813422
         400      0.060       0        3.44667e-24               0.011886               0.584648
         400      0.060      15        1.75978e-24               0.008116               0.592063
         400      0.060      30        8.27779e-25               0.007821               0.000000
         400      0.060      45        3.58732e-25               0.010642               0.688100
         400      0.060      60        1.43227e-25               0.020366               0.726965
         400      0.060      75        5.26836e-26               0.053843               0.870406
         400      0.070       0        6.57372e-24               0.015432               0.652592
         400      0.070      15        3.35637e-24               0.010549               0.665324
         400      0.070      30         1.5788e-24               0.010167               0.677083
         400      0.070      45        6.84198e-25               0.013822               0.734469
         400      0.070      60        2.73172e-25               0.026374               0.794258
         400      0.070      75        1.00482e-25               0.069031               0.820768
         400      0.075       0        9.25325e-24               0.017030               0.681654
         400      0.075      15        4.72447e-24               0.011647               0.673100
         400      0.075      30        2.22234e-24               0.011226               0.700169
         400      0.075      45        9.63086e-25               0.015256               0.737090
         400      0.075      60         3.8452e-25               0.029072               0.794093
         400      0.075      75         1.4144e-25               0.075752               0.795960
         400      0.080       0        1.31915e-23               0.018398               0.732720
         400      0.080      15        6.73526e-24               0.012589               0.716655
         400      0.080      30        3.16819e-24               0.012134               0.732674
         400      0.080      45        1.37299e-24               0.016485               0.763005
         400      0.080      60        5.48176e-25               0.031378               0.770284
         400      0.080      75        2.01638e-25               0.081450               0.811981
         400      0.100       0        6.18703e-23               0.020300               0.769426
         400      0.100      15        3.15894e-23               0.013899               0.790669
         400      0.100      30        1.48593e-23               0.013398               0.796872
         400      0.100      45        6.43951e-24               0.018193               0.804909
         400      0.100      60        2.57103e-24               0.034574               0.782360
         400      0.100      75        9.45712e-25               0.089277               0.689870
